P_id,Parla_Accession_No,Parla_Language_Name,Culture,P_cid,Culture_2,P_cid_2,Parla_V1,Parla_V2,Parla_V3,Parla_V4,Parla_V5,Parla_V6,Parla_V7,Parla_V8,Parla_V9A,Parla_V9B,Parla_V9C,Parla_V10,Parla_V11,Parla_V12A,Parla_V12B,Parla_V13,Parla_V14,Parla_V15,Parla_V16,Parla_V17,Parla_V18,Parla_V19,Parla_V20,Parla_V21,Parla_V22,Parla_V23,Parla_V24,Parla_V25,Parla_V26,Parla_V27,Parla_V28,Parla_V29,Parla_V30,Parla_V31,Parla_V32,Parla_V33,Parla_V34,Parla_V35,Parla_V36,Parla_V37,Parla_V38,Parla_V39,Parla_V40,Parla_V41,Parla_V42,Parla_V43,Parla_V44,Parla_V45,Parla_V46,Parla_V47,Parla_V48,Parla_V49,Parla_Real1,Parla_Real2,Parla_Real3,Parla_Real4,Parla_Real5,Parla_Real6,Parla_Real7,Parla_Real8,Parla_Coder,Parla_Active
48,4195140,Chuckchee,Chaunsky Chuckchi,13850,,,0,0,0,0,0,0,0,32,4,2,2,4,0,0,0,0,0,0,0,0,0,4,0,8,4,2,2,12,0,2,0,2,4,32,32,8,6,48,2,6,48,2,72,12,4,6,2,4,2,2,4,4,32959,32959,41024,8256,49215,63,32959,32959,,1
104,8453699,Mongolian,Monguor,21649,,,2,0,0,0,0,0,0,32,8,2,4,4,0,0,0,0,0,0,0,0,0,4,0,4,2,4,6,4,0,6,0,4,6,24,24,8,12,8,4,12,48,80,4,2,6,4,4,2,6,6,2,4,32959,32959,41024,16448,49215,64,32959,32959,,1
185,8453443,Chiluba,Shila,25400,,,2,0,0,0,0,0,0,8,4,2,8,8,0,0,0,0,0,0,0,0,0,8,0,16,32,4,40,40,0,8,0,4,6,24,12,2,24,24,12,8,48,64,80,6,16,8,8,2,6,4,6,4,32959,32959,24640,64,32831,16448,32959,32959,,1
136,9795,English,U.S. General,62475,,,16,2,8,16,2,16,16,8,2,2,2,8,4,4,2,16,2,8,2,2,2,2,16,24,4,4,2,4,4,4,4,2,2,32,8,8,8,8,8,8,48,8,2,4,8,2,2,0,0,0,0,0,15426,32832,16448,63,32831,49215,28737,4161,I,1
135,9539,English,U.S. General,62475,,,32,2,16,16,8,8,16,4,2,2,0,8,8,8,4,24,2,8,2,2,2,2,16,16,16,4,16,12,8,0,8,2,6,12,24,24,4,8,16,8,48,8,6,10,8,4,4,2,2,2,4,4,61505,16448,8256,63,32831,32959,32833,12353,I,1
140,33858,Welsh,Wales,28436,,,8,4,4,12,8,16,2,32,2,4,32,12,8,32,0,40,8,24,16,2,2,2,2,4,16,6,8,16,16,16,16,2,4,8,4,6,4,6,40,8,48,320,24,8,24,8,4,2,4,4,2,2,12354,28737,45120,49215,8256,41024,9282,32959,,1
52,23618,Japanese,Japan Unspecified,62532,,,16,4,12,28,4,4,2,16,2,4,0,4,4,32,16,16,4,24,48,8,2,2,8,8,16,6,4,48,48,4,12,2,4,24,8,12,6,24,32,8,64,288,104,6,20,4,2,2,6,4,6,2,41025,57408,32832,32831,64,32959,2114,61505,,1
154,12586052,Rif (Moroccan),Riffians,30150,,,0,0,8,0,0,0,0,16,2,4,0,0,0,0,0,32,8,0,0,0,0,4,0,40,2,2,2,2,2,32,32,2,4,32,16,32,2,24,2,12,96,32,2,96,2,4,4,2,4,2,2,2,32959,32959,32832,49215,64,16448,32959,32959,,1
181,67,Mbuti,Mbuti,21132,,,0,0,2,6,2,0,0,16,2,2,0,2,16,0,0,32,8,2,8,2,8,8,2,16,16,2,2,2,2,32,4,4,2,48,8,2,32,8,8,8,96,-128,2,96,8,4,2,2,2,4,2,2,32959,32959,32832,49215,32831,32959,32959,32959,,1
39,580,Tlingit,Tlingit,27193,,,2,0,0,0,0,0,0,8,2,4,0,4,0,0,0,0,0,0,0,0,0,8,0,32,2,2,2,4,0,2,0,2,4,32,8,12,2,16,2,12,96,2,2,2,4,2,2,0,0,0,0,0,32959,32959,16448,49215,64,32959,32959,32959,,1
62,6723,Mandarin,C Chinese Village,62309,,,0,2,0,8,2,32,128,32,2,2,2,4,2,2,0,16,2,8,2,2,2,4,4,8,16,2,0,0,0,0,0,2,4,16,4,8,32,16,8,4,96,8,72,8,8,4,8,2,2,2,4,2,38466,0,41024,32831,49215,63,0,41024,,1
96,21570,Thai,Thai,26973,,,32,20,4,12,2,8,4,8,2,2,4,12,48,32,0,16,8,16,16,2,4,4,6,8,16,6,6,12,16,24,16,2,2,12,32,40,48,16,24,12,96,64,4,2,4,2,6,2,4,4,2,4,7234,65,16448,63,32831,64,15426,9282,,1
